vote_id,kmmbr_id,kmmbr_name,vote_result,knesset_num,faction_id,faction_name,reason,modifier,remark
94,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
168,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
195,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
196,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
197,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
198,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
340,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
346,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
347,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
348,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
349,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
350,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
351,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
352,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
353,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
395,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
396,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
427,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
430,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
431,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
433,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
434,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
436,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
437,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
443,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
444,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
447,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
450,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
451,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
454,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
471,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
483,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
484,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
485,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
486,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
487,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
571,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
572,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
586,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
587,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
589,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
590,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
591,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
592,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
593,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
594,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
595,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
596,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
597,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
598,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
599,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
713,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
714,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
715,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
716,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
717,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
749,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
750,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
752,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
753,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
754,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
755,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
756,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
757,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
758,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
759,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
760,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
781,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
783,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
784,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
813,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
814,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
999,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1000,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1001,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1002,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1024,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1025,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1028,000000405,בנימין אלון,3,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1033,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1059,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1060,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1062,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1081,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1091,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1092,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1093,000000405,בנימין אלון,1,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1115,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1116,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1117,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1119,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1120,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1121,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1122,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1123,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
1124,000000405,בנימין אלון,2,16,45,האיחוד הלאומי-ישראל ביתנו,,,
